800 1000
0 0
101 0 0 
101 0 0 
101 0 32 
101 0 64 
101 0 96 
101 0 128 
101 0 160 
101 0 192 
101 0 224 
101 0 256 
101 0 288 
101 0 320 
101 32 0 
101 32 32 
101 32 64 
101 32 96 
101 32 128 
101 32 160 
101 32 192 
101 32 224 
101 32 256 
101 32 288 
101 32 320 
101 64 0 
101 64 32 
101 64 64 
101 64 96 
101 64 128 
101 64 160 
101 64 192 
101 64 224 
101 64 256 
101 64 288 
101 64 320 
101 96 0 
101 96 32 
101 96 64 
101 96 96 
101 96 128 
101 96 160 
101 96 192 
101 96 224 
101 96 256 
101 96 288 
101 96 320 
101 128 0 
101 128 32 
101 128 64 
101 128 96 
101 128 128 
101 128 160 
101 128 192 
101 128 224 
101 128 256 
101 128 288 
101 128 320 
101 160 0 
101 160 32 
101 160 64 
101 160 96 
101 160 128 
101 160 160 
101 160 192 
101 160 224 
101 160 256 
101 160 288 
101 160 320 
101 192 0 
101 192 32 
101 192 64 
101 192 96 
101 192 128 
101 192 160 
101 192 192 
101 192 224 
101 192 256 
101 192 288 
101 192 320 
101 224 0 
101 224 32 
101 224 64 
101 224 96 
101 224 128 
101 224 160 
101 224 192 
101 224 224 
101 224 256 
101 224 288 
101 224 320 
101 256 0 
101 256 32 
101 256 64 
101 256 96 
101 256 128 
101 256 160 
101 256 192 
101 256 224 
101 256 256 
101 256 288 
101 256 320 
101 288 0 
101 288 32 
101 288 64 
101 288 96 
101 288 128 
101 288 160 
101 288 192 
101 288 224 
101 288 256 
101 288 288 
101 288 320 
101 320 0 
101 320 32 
101 320 64 
101 320 96 
101 320 128 
101 320 160 
101 320 192 
101 320 224 
101 320 256 
101 320 288 
101 320 320 
101 352 0 
101 352 32 
101 352 64 
101 352 96 
101 352 128 
101 352 160 
101 352 192 
101 352 224 
101 352 256 
101 352 288 
101 352 320 
101 384 0 
101 384 32 
101 384 64 
101 384 96 
101 384 128 
101 384 160 
101 384 192 
101 384 224 
101 384 256 
101 384 288 
101 384 320 
101 416 0 
101 416 32 
101 416 64 
101 416 96 
101 416 128 
101 416 160 
101 416 192 
101 416 224 
101 416 256 
101 416 288 
101 416 320 
101 448 0 
101 448 32 
101 448 64 
101 448 96 
101 448 128 
101 448 160 
