800 800
0 0
92 224 64 
92 224 64 
97 224 64 
97 256 64 
97 288 64 
97 320 64 
97 352 64 
97 384 64 
97 416 64 
97 224 96 
97 224 128 
97 256 96 
97 288 96 
97 320 96 
97 352 96 
97 384 96 
97 416 96 
97 256 128 
97 288 128 
97 320 128 
97 352 128 
97 384 128 
97 416 128 
97 416 160 
97 416 192 
97 416 224 
97 416 256 
97 416 288 
97 448 320 
97 416 320 
97 480 320 
97 512 320 
97 544 320 
97 576 320 
97 608 320 
97 608 352 
97 608 384 
97 608 416 
97 608 448 
97 608 480 
97 608 512 
97 608 544 
97 608 576 
97 608 608 
97 608 640 
97 608 672 
97 608 704 
97 576 704 
97 544 704 
97 512 704 
97 480 704 
97 448 704 
97 416 704 
97 384 704 
97 352 704 
97 320 704 
97 288 704 
97 256 704 
97 224 704 
97 192 704 
97 160 704 
97 128 704 
97 96 704 
97 96 672 
97 96 640 
97 96 608 
97 96 576 
97 96 544 
97 96 512 
97 96 480 
97 96 448 
97 96 416 
97 96 384 
97 96 352 
97 96 320 
97 128 320 
97 160 320 
97 192 320 
97 224 320 
97 224 288 
97 224 256 
97 224 224 
97 224 192 
97 224 160 
97 256 160 
97 288 160 
97 320 160 
97 352 160 
97 384 160 
97 384 192 
97 352 192 
97 320 192 
97 288 192 
97 256 192 
97 256 224 
97 288 224 
97 320 224 
97 352 224 
97 384 224 
97 384 256 
97 352 256 
97 320 256 
97 288 256 
97 256 256 
97 256 288 
97 288 288 
97 320 288 
97 352 288 
97 384 288 
97 384 320 
97 352 320 
97 320 320 
97 288 320 
97 256 320 
99 448 288 
99 480 288 
99 512 288 
99 544 288 
99 576 288 
99 608 288 
99 192 288 
99 160 288 
99 128 288 
99 96 288 
96 448 256 
96 192 256 
96 192 224 
96 192 192 
96 192 160 
96 192 128 
96 192 96 
96 192 64 
96 192 32 
96 192 0 
95 448 256 
95 448 224 
95 448 192 
95 448 160 
95 448 128 
95 448 96 
95 448 64 
95 448 32 
95 448 0 
95 640 320 
