500 500
13 128 128 
13 128 128 
13 160 128 
13 192 128 
13 224 128 
13 256 128 
13 288 128 
13 320 128 
13 352 128 
13 384 128 
13 384 160 
13 384 192 
13 384 224 
13 384 256 
13 384 288 
13 384 320 
13 384 352 
13 352 352 
13 320 352 
13 256 352 
13 288 352 
13 224 352 
13 192 352 
13 160 352 
13 128 352 
13 96 352 
13 96 320 
13 96 288 
13 96 256 
13 96 224 
13 96 192 
13 96 160 
13 96 128 
13 128 160 
13 160 160 
13 192 160 
13 224 160 
13 256 160 
13 288 160 
13 320 160 
13 352 160 
13 352 192 
13 320 192 
13 288 192 
13 256 192 
13 224 192 
13 192 192 
13 160 192 
13 128 192 
13 128 224 
13 160 224 
13 192 224 
13 224 224 
13 256 224 
13 288 224 
13 320 224 
13 352 224 
13 352 256 
13 320 256 
13 288 256 
13 256 256 
13 224 256 
13 192 256 
13 160 256 
13 128 256 
13 128 288 
13 160 288 
13 192 288 
13 224 288 
13 256 288 
13 288 288 
13 320 288 
13 352 288 
13 352 320 
13 320 320 
13 288 320 
13 256 320 
13 224 320 
13 192 320 
13 192 320 
13 160 320 
13 128 320 
30 384 96 
30 352 96 
30 320 96 
30 256 96 
30 288 96 
30 224 96 
30 192 96 
30 160 96 
30 128 96 
30 96 96 
31 384 64 
31 352 64 
31 320 64 
31 288 64 
31 256 64 
31 224 64 
31 192 64 
31 160 64 
31 128 64 
31 96 64 
32 96 32 
32 128 32 
32 160 32 
32 192 32 
32 224 32 
32 256 32 
32 288 32 
32 320 32 
32 352 32 
32 384 32 
33 384 0 
33 352 0 
33 320 0 
33 288 0 
33 256 0 
33 224 0 
33 192 0 
33 160 0 
33 128 0 
33 96 0 
34 64 32 
34 64 64 
34 64 96 
34 64 128 
34 64 160 
34 32 192 
34 32 224 
34 64 288 
34 64 320 
34 64 352 
35 96 384 
35 128 384 
35 160 384 
35 192 384 
35 224 384 
35 256 384 
35 288 384 
35 320 384 
35 352 384 
35 384 384 
36 416 352 
36 416 320 
36 416 288 
36 416 256 
36 416 224 
36 416 192 
36 416 160 
36 416 128 
36 416 96 
36 416 64 
36 416 32 
37 416 32 
37 416 64 
37 416 96 
37 416 128 
37 416 160 
37 416 192 
37 416 224 
37 416 256 
37 416 288 
37 416 320 
37 416 352 
37 384 384 
37 416 384 
37 352 384 
37 320 384 
37 288 384 
37 256 384 
37 224 384 
37 192 384 
37 160 384 
37 128 384 
37 96 384 
37 64 384 
37 64 352 
37 64 320 
37 64 288 
37 64 256 
37 32 224 
37 32 256 
37 32 192 
37 32 160 
37 64 160 
37 64 128 
37 64 96 
37 64 64 
37 96 64 
37 128 64 
37 160 64 
37 192 64 
37 224 64 
37 256 64 
37 288 64 
37 320 64 
37 320 64 
38 224 128 
38 224 128 
57 160 128 
56 128 128 
56 96 128 
60 128 96 
59 160 96 
58 96 96 
