1500 700
0 0
13 94 128 
13 94 128 
13 126 128 
13 158 128 
13 190 128 
13 222 128 
13 254 128 
13 286 128 
13 318 128 
13 350 128 
13 382 128 
13 382 160 
13 414 128 
13 414 160 
13 414 192 
13 382 192 
13 382 224 
13 350 192 
13 414 224 
13 414 256 
13 414 288 
13 414 320 
13 414 352 
13 414 384 
13 382 384 
13 350 384 
13 318 384 
13 254 384 
13 286 384 
13 222 384 
13 190 384 
13 158 384 
13 126 384 
13 94 384 
13 62 384 
13 62 352 
13 62 320 
13 62 288 
13 62 256 
13 62 224 
13 62 192 
13 62 160 
13 62 128 
13 94 160 
13 126 160 
13 158 160 
13 190 160 
13 222 160 
13 254 160 
13 286 160 
13 318 160 
13 350 160 
13 318 192 
13 286 192 
13 254 192 
13 222 192 
13 158 192 
13 190 192 
13 126 192 
13 94 192 
13 94 224 
13 126 224 
13 158 224 
13 222 224 
13 190 224 
13 254 224 
13 286 224 
13 318 224 
13 350 224 
13 382 256 
13 350 256 
13 318 256 
13 286 256 
13 254 256 
13 222 256 
13 190 256 
13 158 256 
13 126 256 
13 126 256 
13 94 256 
13 94 288 
13 126 288 
13 158 288 
13 190 288 
13 222 288 
13 254 288 
13 286 288 
13 318 288 
13 350 288 
13 382 288 
13 382 320 
13 350 320 
13 318 320 
13 286 320 
13 254 320 
13 222 320 
13 190 320 
13 158 320 
13 126 320 
13 94 320 
13 94 352 
13 126 352 
13 158 352 
13 190 352 
13 222 352 
13 254 352 
13 286 352 
13 318 352 
13 350 352 
13 382 352 
13 446 224 
13 478 128 
13 510 128 
13 542 128 
13 574 128 
13 606 128 
13 638 128 
13 670 128 
13 702 128 
13 734 128 
13 734 160 
13 734 192 
13 734 224 
13 734 256 
13 734 288 
13 734 320 
13 734 352 
13 734 384 
13 702 384 
13 670 384 
13 606 384 
13 638 384 
13 574 384 
13 542 384 
13 510 384 
13 478 384 
13 478 352 
13 478 320 
13 510 352 
13 574 352 
13 606 352 
13 638 352 
13 670 352 
13 702 352 
13 702 320 
13 702 288 
13 702 256 
13 702 224 
13 702 192 
13 702 160 
13 670 160 
13 670 192 
13 670 224 
13 670 256 
13 670 288 
13 670 320 
13 638 320 
13 638 288 
13 638 256 
13 638 224 
13 638 192 
13 638 160 
13 606 160 
13 606 224 
13 606 192 
13 606 256 
13 606 288 
13 606 320 
13 574 320 
13 542 320 
13 542 352 
13 510 320 
13 510 288 
13 478 288 
13 478 256 
13 478 224 
13 478 192 
13 478 160 
13 510 160 
13 542 160 
13 574 160 
13 574 192 
13 574 224 
13 574 256 
13 574 288 
13 542 288 
13 542 256 
13 542 224 
13 542 192 
13 542 192 
13 510 192 
13 510 224 
13 510 256 
30 318 96 
30 286 96 
30 414 96 
30 254 96 
30 222 96 
30 190 96 
30 158 96 
30 126 96 
30 734 96 
30 702 96 
30 670 96 
30 638 96 
30 606 96 
30 574 96 
30 542 96 
30 510 96 
30 478 96 
30 94 96 
30 62 96 
31 62 64 
31 94 64 
31 126 64 
31 158 64 
31 190 64 
31 222 64 
31 254 64 
31 286 64 
31 318 64 
31 414 64 
31 478 64 
31 510 64 
31 542 64 
31 574 64 
31 606 64 
31 638 64 
31 670 64 
31 702 64 
31 734 64 
32 318 32 
32 286 32 
32 254 32 
32 222 32 
32 190 32 
32 158 32 
32 126 0 
32 126 32 
32 94 32 
32 62 32 
32 414 32 
32 478 32 
32 510 32 
32 542 32 
32 574 32 
32 606 32 
32 638 32 
32 670 32 
32 702 32 
32 734 32 
33 62 0 
33 94 0 
33 126 0 
33 158 0 
33 190 0 
33 222 0 
33 254 0 
33 286 0 
33 318 0 
33 478 0 
33 510 0 
33 542 0 
33 574 0 
33 606 0 
33 638 0 
33 670 0 
33 702 0 
33 734 0 
34 30 32 
34 30 64 
34 30 96 
34 30 128 
34 30 160 
34 -2 224 
34 -2 256 
34 30 320 
34 30 352 
34 30 384 
35 62 416 
35 94 416 
35 126 416 
35 158 416 
35 190 416 
35 222 416 
35 254 416 
35 286 416 
35 318 416 
35 350 416 
35 382 416 
35 414 416 
35 478 416 
35 510 416 
35 542 416 
35 574 416 
35 606 416 
35 638 416 
35 670 416 
35 702 416 
35 734 416 
36 766 32 
36 766 64 
36 766 96 
36 766 128 
36 766 160 
36 766 192 
36 766 224 
36 766 256 
36 766 288 
36 766 320 
36 766 352 
36 766 384 
40 542 128 
56 62 128 
56 94 128 
56 126 128 
56 158 128 
56 190 128 
57 222 128 
58 158 96 
58 190 96 
59 222 96 
60 126 96 
60 126 96 
58 94 96 
58 62 96 
61 574 128 
61 574 128 
62 446 32 
62 446 64 
62 446 96 
62 446 128 
62 446 160 
62 446 288 
62 446 320 
62 446 352 
62 446 384 
63 446 256 
64 446 192 
64 446 192 
13 254 416 
13 222 416 
65 286 416 
66 190 416 
67 350 96 
67 350 64 
67 350 32 
68 382 96 
68 382 64 
68 382 32 
34 30 192 
34 30 224 
34 30 256 
34 30 288 
38 222 448 
35 222 448 
35 254 448 
35 254 448 
71 736 224 
69 320 256 
70 288 256 
70 288 288 
70 288 320 
70 384 256 
70 384 288 
70 384 320 
70 384 320 
73 640 32 
73 672 32 
73 480 32 
73 288 32 
74 288 32 
74 672 32 
74 480 32 
