1000 500
0 0
13 64 130 
13 64 130 
13 64 162 
13 64 194 
13 96 130 
13 96 162 
13 96 194 
13 128 130 
13 128 162 
13 128 194 
13 64 226 
13 64 258 
13 64 290 
13 96 226 
13 96 258 
13 96 290 
13 128 226 
13 128 258 
13 128 290 
13 64 322 
13 64 354 
13 64 386 
13 96 322 
13 96 354 
13 96 386 
13 128 322 
13 128 354 
13 128 386 
13 160 130 
13 160 162 
13 160 194 
13 192 130 
13 192 162 
13 192 194 
13 224 130 
13 224 162 
13 224 194 
13 256 130 
13 256 162 
13 256 194 
13 288 130 
13 288 162 
13 288 194 
13 320 130 
13 320 162 
13 320 194 
13 352 130 
13 352 162 
13 352 194 
13 384 130 
13 384 162 
13 384 194 
13 416 130 
13 416 162 
13 416 194 
13 448 130 
13 448 162 
13 448 194 
13 480 130 
13 480 162 
13 480 194 
13 512 130 
13 512 162 
13 512 194 
13 448 226 
13 448 258 
13 448 290 
13 480 226 
13 480 258 
13 480 290 
13 512 226 
13 512 258 
13 512 290 
13 448 322 
13 448 354 
13 448 386 
13 480 322 
13 480 354 
13 480 386 
13 512 322 
13 512 354 
13 512 386 
13 352 226 
13 352 258 
13 352 290 
13 384 226 
13 384 258 
13 384 290 
13 416 226 
13 416 258 
13 416 290 
13 256 226 
13 256 258 
13 256 290 
13 288 226 
13 288 258 
13 288 290 
13 320 226 
13 320 258 
13 320 290 
13 160 226 
13 160 258 
13 160 290 
13 192 226 
13 192 258 
13 192 290 
13 224 226 
13 224 258 
13 224 290 
13 160 322 
13 160 354 
13 160 386 
13 192 322 
13 192 354 
13 192 386 
13 224 322 
13 224 354 
13 224 386 
13 256 322 
13 256 354 
13 256 386 
13 288 322 
13 288 354 
13 288 386 
13 320 322 
13 320 354 
13 320 386 
13 352 322 
13 352 354 
13 352 386 
13 384 322 
13 384 354 
13 384 386 
13 416 322 
13 416 354 
13 416 386 
13 64 98 
13 96 98 
13 128 98 
13 160 98 
13 192 98 
13 224 98 
13 256 98 
13 288 98 
13 320 98 
13 352 98 
13 384 98 
13 416 98 
13 448 98 
13 480 98 
13 512 98 
13 576 98 
13 576 130 
13 576 162 
13 608 98 
13 608 130 
13 608 162 
13 640 98 
13 640 130 
13 640 162 
13 576 194 
13 576 226 
13 576 258 
13 608 194 
13 608 226 
13 608 258 
13 640 194 
13 640 226 
13 640 258 
13 576 290 
13 576 322 
13 576 354 
13 608 290 
13 608 322 
13 608 354 
13 640 290 
13 640 322 
13 640 354 
13 576 386 
13 608 386 
13 640 386 
13 672 322 
13 672 354 
13 672 386 
13 704 322 
13 704 354 
13 704 386 
13 736 322 
13 736 354 
13 736 386 
13 768 322 
