1000 1000
0 0
46 0 256 
46 0 256 
46 0 288 
46 0 320 
46 32 256 
46 64 256 
46 64 288 
46 32 288 
46 32 320 
46 64 320 
46 96 256 
46 96 288 
46 96 320 
46 128 320 
46 128 288 
46 128 256 
46 160 256 
46 160 288 
46 192 256 
46 256 320 
46 320 256 
46 352 288 
46 384 320 
45 128 352 
45 96 352 
45 64 352 
45 32 352 
45 0 352 
43 192 224 
43 160 224 
43 128 224 
43 96 224 
43 64 224 
43 32 224 
43 0 224 
41 0 0 
41 0 0 
41 0 32 
41 0 64 
41 0 96 
41 0 128 
41 0 160 
41 32 0 
41 32 32 
41 32 64 
41 32 96 
41 32 128 
41 32 160 
41 64 0 
41 64 32 
41 64 64 
41 64 96 
41 64 128 
41 64 160 
41 96 0 
41 96 32 
41 96 64 
41 96 96 
41 96 128 
41 96 160 
41 128 0 
41 128 32 
41 128 64 
41 128 96 
41 128 128 
41 128 160 
41 160 0 
41 160 32 
41 160 64 
41 160 96 
41 160 128 
41 160 160 
41 192 0 
41 192 32 
41 192 64 
41 192 96 
41 192 128 
41 192 160 
41 224 0 
41 224 32 
41 224 64 
41 224 96 
41 224 128 
41 224 160 
41 256 0 
41 256 32 
41 256 64 
41 256 96 
41 256 128 
41 256 160 
41 288 0 
41 288 32 
41 288 64 
41 288 96 
41 288 128 
41 288 160 
41 320 0 
41 320 32 
41 320 64 
41 320 96 
41 320 128 
41 320 160 
41 352 0 
41 352 32 
41 352 64 
41 352 96 
41 352 128 
41 352 160 
41 384 0 
41 384 32 
41 384 64 
41 384 96 
41 384 128 
41 384 160 
41 416 0 
41 416 32 
41 416 64 
41 416 96 
41 416 128 
41 416 160 
41 448 0 
41 448 32 
41 448 64 
41 448 96 
41 448 128 
41 448 160 
41 480 0 
41 480 32 
41 480 64 
41 480 96 
41 480 128 
41 480 160 
41 512 0 
41 512 32 
41 512 64 
41 512 96 
41 512 128 
41 512 160 
41 544 0 
41 544 32 
41 544 64 
41 544 96 
41 544 128 
41 544 160 
41 576 0 
41 576 32 
41 576 64 
41 576 96 
41 576 128 
41 576 160 
41 608 0 
41 608 32 
41 608 64 
41 608 96 
41 608 128 
41 608 160 
41 640 0 
41 640 32 
41 640 64 
41 640 96 
41 640 128 
41 640 160 
41 672 0 
41 672 32 
41 672 64 
41 672 96 
41 672 128 
41 672 160 
41 704 0 
41 704 32 
41 704 64 
41 704 96 
41 704 128 
41 704 160 
41 736 0 
41 736 32 
41 736 64 
41 736 96 
41 736 128 
41 736 160 
41 576 192 
41 576 224 
41 576 256 
41 576 288 
41 576 320 
41 576 352 
41 608 192 
41 608 224 
41 608 256 
41 608 288 
41 608 320 
41 608 352 
41 640 192 
41 640 224 
41 640 256 
41 640 288 
41 640 320 
41 640 352 
41 672 192 
41 672 224 
41 672 256 
41 672 288 
41 672 320 
41 672 352 
41 704 192 
41 704 224 
41 704 256 
41 704 288 
41 704 320 
41 704 352 
41 736 192 
41 736 224 
41 736 256 
41 736 288 
41 736 320 
41 736 352 
41 576 384 
41 576 416 
41 576 448 
41 576 480 
41 576 512 
41 576 544 
41 608 384 
41 608 416 
41 608 448 
41 608 480 
41 608 512 
41 608 544 
41 640 384 
41 640 416 
41 640 448 
41 640 480 
41 640 512 
41 640 544 
41 672 384 
41 672 416 
41 672 448 
41 672 480 
41 672 512 
41 672 544 
41 704 384 
41 704 416 
41 704 448 
41 704 480 
41 704 512 
41 704 544 
41 736 384 
41 736 416 
41 736 448 
41 736 480 
41 736 512 
41 736 544 
41 384 416 
41 384 448 
41 384 480 
41 384 512 
41 384 544 
41 384 576 
41 416 416 
41 416 448 
41 416 480 
41 416 512 
41 416 544 
41 416 576 
41 448 416 
41 448 448 
41 448 480 
41 448 512 
41 448 544 
41 448 576 
41 480 416 
41 480 448 
41 480 480 
41 480 512 
41 480 544 
41 480 576 
41 512 416 
41 512 448 
41 512 480 
41 512 512 
41 512 544 
41 512 576 
41 544 416 
41 544 448 
41 544 480 
41 544 512 
41 544 544 
41 544 576 
41 0 384 
41 0 416 
41 0 448 
41 0 480 
41 0 512 
41 0 544 
41 32 384 
41 32 416 
41 32 448 
41 32 480 
41 32 512 
41 32 544 
41 64 384 
41 64 416 
41 64 448 
41 64 480 
41 64 512 
41 64 544 
41 96 384 
41 96 416 
41 96 448 
41 96 480 
