1000 1000
44 0 -2 
44 0 -2 
44 0 30 
44 0 62 
44 0 94 
44 0 126 
44 0 158 
44 0 190 
44 0 222 
44 0 254 
44 0 286 
44 0 318 
44 0 350 
44 0 382 
44 0 414 
44 0 446 
44 0 478 
44 0 510 
44 0 542 
44 0 574 
44 0 -34 
44 0 -66 
44 0 -98 
44 0 606 
44 0 638 
44 0 670 
46 32 30 
46 64 30 
46 96 30 
46 96 62 
46 64 62 
46 32 62 
46 32 94 
46 32 126 
46 64 94 
46 96 94 
46 96 126 
46 64 126 
46 64 158 
46 32 158 
46 96 158 
46 96 190 
46 64 190 
46 32 190 
46 32 222 
46 64 222 
46 96 222 
46 96 254 
46 64 254 
46 32 254 
46 32 286 
46 64 286 
46 96 286 
46 96 318 
46 64 318 
46 32 318 
46 32 350 
46 96 350 
46 64 350 
46 64 382 
46 32 382 
46 96 382 
46 96 414 
46 64 414 
46 32 414 
46 32 446 
46 32 478 
46 64 478 
46 96 478 
46 96 510 
46 96 446 
46 64 446 
46 64 510 
46 32 510 
46 32 542 
46 64 542 
46 96 542 
46 96 574 
46 64 574 
46 32 574 
46 96 606 
46 64 606 
46 32 606 
46 32 638 
46 64 638 
46 96 638 
46 64 670 
46 32 670 
46 96 670 
46 96 702 
46 96 734 
46 64 734 
46 64 702 
46 32 702 
46 32 734 
46 32 766 
46 64 766 
46 96 766 
44 0 702 
44 0 734 
44 0 766 
42 128 30 
42 128 62 
42 128 94 
42 128 126 
42 128 158 
42 128 222 
42 128 190 
42 128 254 
42 128 286 
42 128 318 
42 128 350 
42 128 382 
42 128 414 
42 128 446 
42 128 478 
42 128 510 
42 128 542 
42 128 574 
42 128 606 
42 128 638 
42 128 670 
42 128 702 
42 128 734 
42 128 766 
42 608 30 
42 608 62 
42 608 94 
42 608 126 
42 608 158 
42 608 190 
42 608 222 
42 608 254 
42 608 286 
42 608 318 
42 608 350 
42 608 382 
42 608 414 
42 608 446 
42 608 478 
42 608 510 
42 608 542 
42 608 574 
42 608 606 
42 608 638 
42 608 670 
42 608 702 
42 608 734 
42 608 766 
46 576 30 
46 512 30 
46 544 30 
46 576 62 
46 544 62 
46 512 62 
46 512 94 
46 544 94 
46 576 94 
46 576 126 
46 544 126 
46 512 126 
46 544 158 
46 512 158 
46 576 158 
46 576 190 
46 544 190 
46 512 190 
46 512 222 
46 544 222 
46 576 222 
46 576 254 
46 544 254 
46 512 254 
46 512 286 
46 544 286 
46 576 286 
46 576 318 
46 544 318 
46 512 318 
46 512 350 
46 544 350 
46 576 350 
46 576 382 
46 544 382 
46 512 382 
46 512 414 
46 544 414 
46 576 414 
46 576 446 
46 544 446 
46 512 446 
46 512 478 
46 544 478 
46 576 478 
46 576 510 
46 576 542 
46 576 574 
46 576 606 
46 576 638 
46 576 670 
46 576 702 
46 576 734 
46 576 766 
46 544 766 
46 544 734 
46 544 702 
46 544 670 
46 544 638 
46 544 606 
46 544 542 
46 544 510 
46 544 574 
46 512 510 
46 512 542 
46 512 574 
46 512 606 
46 512 638 
46 512 702 
46 512 670 
46 512 734 
46 512 766 
44 480 30 
44 480 62 
44 480 94 
44 480 126 
44 480 158 
44 480 190 
44 480 222 
44 480 254 
44 480 286 
44 480 318 
44 480 350 
44 480 382 
44 480 414 
44 480 446 
44 480 478 
44 480 510 
44 480 542 
44 480 574 
44 480 606 
44 480 638 
44 480 670 
44 480 702 
44 480 734 
44 480 766 
41 416 -2 
41 448 30 
41 448 62 
41 448 94 
41 448 126 
41 448 158 
41 448 190 
41 448 222 
41 448 254 
41 448 286 
41 448 318 
41 448 350 
41 448 382 
41 448 414 
41 448 446 
41 448 478 
41 448 510 
41 448 542 
41 448 574 
41 448 606 
41 448 638 
41 448 670 
41 448 702 
41 448 734 
41 448 766 
41 416 734 
41 416 702 
41 416 670 
41 416 766 
41 416 638 
41 416 606 
41 416 574 
41 416 542 
