1500 500
41 1
52 448 480 
52 448 480 
52 416 480 
51 384 480 
53 480 480 
46 384 448 
46 416 448 
46 448 448 
46 480 448 
46 416 416 
46 448 416 
46 448 384 
46 416 384 
46 416 352 
46 448 352 
46 448 320 
46 416 320 
46 416 288 
46 448 288 
46 384 224 
46 384 256 
46 352 256 
46 320 256 
46 320 224 
46 288 256 
46 288 224 
46 256 224 
46 256 256 
46 224 256 
46 224 224 
46 192 224 
46 192 256 
46 160 256 
46 160 224 
46 128 224 
46 128 256 
46 96 256 
46 96 224 
46 64 224 
46 64 256 
46 32 256 
46 32 224 
46 0 224 
46 0 256 
46 352 224 
46 416 224 
46 448 224 
46 448 256 
46 416 256 
44 384 384 
44 384 352 
44 384 416 
44 384 448 
44 384 320 
42 480 384 
42 480 352 
42 480 320 
42 480 288 
42 480 256 
42 480 416 
42 480 448 
42 480 224 
43 448 192 
43 416 192 
43 384 192 
43 352 192 
43 320 192 
43 288 192 
43 256 192 
43 224 192 
43 192 192 
43 160 192 
43 128 192 
43 96 192 
43 64 192 
43 32 192 
43 0 192 
45 352 288 
45 320 288 
45 288 288 
45 256 288 
45 224 288 
45 192 288 
45 160 288 
45 128 288 
45 96 288 
45 64 288 
45 32 288 
45 0 288 
48 128 0 
46 448 192 
46 416 192 
46 416 160 
46 448 160 
46 448 128 
46 448 96 
46 448 64 
46 448 32 
46 448 0 
46 416 0 
46 416 32 
46 416 64 
46 416 96 
46 416 128 
46 480 224 
46 480 256 
46 512 224 
46 544 224 
46 512 256 
46 544 256 
46 576 256 
46 608 256 
46 576 224 
46 608 224 
46 640 224 
46 640 256 
46 672 224 
46 672 256 
46 704 224 
46 736 224 
46 704 256 
46 736 256 
46 768 224 
46 768 256 
46 800 256 
46 800 224 
46 832 224 
46 832 256 
46 864 224 
46 864 256 
46 960 288 
46 960 320 
46 992 320 
46 992 288 
46 992 352 
46 960 352 
46 960 384 
46 992 384 
46 960 192 
46 960 160 
46 992 192 
46 992 160 
46 992 128 
46 960 128 
46 960 96 
46 960 64 
46 960 32 
46 960 0 
46 992 0 
46 992 32 
46 992 64 
46 992 96 
46 960 224 
46 960 256 
46 992 256 
46 992 224 
46 928 224 
46 896 224 
46 896 256 
46 928 256 
46 960 416 
46 992 416 
46 992 448 
46 960 448 

43 896 192 
43 864 192 
43 832 192 
43 800 192 
43 768 192 
43 736 192 
43 704 192 
43 672 192 
43 640 192 
43 608 192 
43 576 192 
43 544 192 
43 512 192 
45 512 288 
45 544 288 
45 576 288 
45 608 288 
45 640 288 
45 672 288 
45 704 288 
45 736 288 
45 768 288 
45 800 288 
45 832 288 
45 864 288 
45 896 288 
44 928 160 
44 928 128 
44 928 96 
44 928 64 
44 928 32 
44 928 0 
44 928 320 
44 928 352 
44 928 384 
44 928 416 
44 928 448 
42 480 160 
42 480 128 
42 480 96 
42 480 64 
42 480 32 
42 480 0 
43 384 0 
44 384 0 
44 384 32 
44 384 64 
44 384 96 
44 384 128 
44 384 160 
44 384 192 
 
51 928 480 
52 960 480 
52 992 480 
